kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
YLZ-25509;CZ00034d;TFT60;4,45$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;26,2/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1008;24;;300 DEN FDY RENKLÝ;1500;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 7;JAKAR;0,055 $;1,44 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;290 gr;1,08 $;APRE;0,80  $;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25510;CZ00034d;TFT60;3,85$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;698;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1680;24;;300 DEN FDY RENKLÝ;1262;28;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;288 gr;1,07 $;APRE;0,80  $;0,50 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25511;CZ00034d;TFT60;3,91$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;25,7/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;700;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1680;24;;300 DEN FDY RENKLÝ;700;28;;;;;;;;;;;;;;;;;;;;;;% 6;JAKAR;0,055 $;1,41 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;284 gr;1,05 $;APRE;0,80  $;0,50 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25525;CZ00034d;TFT60;3,98$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;22,1/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;36;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2868;24;;5 NM MÝCRO ÞÖNÝL;95;10;;5 NM MÝCRO ÞÖNÝL;95;10;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,22 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;319 gr;1,61 $;APRE;0,80  $;0,53 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25527;CZ00034d;TFT60;3,98$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;22,4/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;108;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2868;24;;5 NM MÝCRO ÞÖNÝL;80;10;;5 NM MÝCRO ÞÖNÝL;80;10;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,23 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;311 gr;1,51 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25547;CZ00034d;TFT60;4,47$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;26,9/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1728;24;;PARLAK TAKVÝYESÝZ SÝM;1312;32;;;;;;;;;;;;;;;;;;;;;;;;;;% 9;JAKAR;0,055 $;1,48 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;205 gr;0,96 $;APRE;0,80  $;0,44 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25550;CZ00034d;TFT60;5,00$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2660;28;;300 DEN FDY RENKLÝ;1260;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25551;CZ00034d;TFT60;5,00$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2353;28;;300 DEN FDY RENKLÝ;1567;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25552;CZ00034d;TFT60;5,00$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1960;28;;300 DEN FDY RENKLÝ;1960;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25555;CZ00034d;TFT60;5,14$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1048;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;700;28;;300 DEN FDY RENKLÝ;1214;28;;300 DEN FDY RENKLÝ;958;28;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
