kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
358717;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;420;34;;300 DEN ÇEKEN ;420;34;;MAT TAKVÝYESÝZ SÝM;420;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;161 gr;0,46 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358731;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;420;34;;300 DEN ÇEKEN ;420;34;;PARLAK TAKVÝYESÝZ SÝM;420;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;161 gr;0,79 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358742;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;510;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;510;34;;MAT TAKVÝYESÝZ SÝM;510;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;286 gr;0,93 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358754;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;380;28;;300 DEN FDY RENKLÝ;380;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358761;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6710;22;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;440;22;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;243 gr;0,90 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358768;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;30,0/cm;;;;300 DEN ÇEKEN ;560;30;;16/1 NE PAMUK;560;30;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,65 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;184 gr;0,57 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358778;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;20,0/cm;;;;300 DEN ÇEKEN ;430;20;;8/1 NE PAMUK (TELEFLÝ);430;20;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,10 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;245 gr;0,44 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358782;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;32;;8/1 NE PAMUK (TELEFLÝ);600;32;;1200 DEN 288 F IMG YARIMAT;300;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;1,78 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358783;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE KESÝKELYAF FLAM;610;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;610;32;;1200 DEN 288 F IMG YARIMAT;305;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;2,13 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358786;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);540;32;;300 DEN FDY RENKLÝ;540;32;;1200 DEN 288 F IMG YARIMAT;270;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;1,78 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358790;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);500;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;334;32;;1200 DEN 288 F IMG YARIMAT;250;32;;PARLAK TAKVÝYESÝZ SÝM;166;32;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;736 gr;1,72 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358791;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE KESÝKELYAF FLAM;500;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;500;32;;1200 DEN 288 F IMG YARIMAT;250;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;2,13 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358792;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;32;;300 DEN 576 F MÝCRO TEKS;600;32;;1200 DEN 288 F IMG YARIMAT;300;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;594 gr;1,48 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358793;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE KESÝKELYAF FLAM;460;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;460;32;;1200 DEN 288 F IMG YARIMAT;230;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;2,13 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358796;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE KESÝKELYAF FLAM;500;32;;300 DEN 576 F MÝCRO TEKS;500;32;;1200 DEN 288 F IMG YARIMAT;250;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;774 gr;1,87 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358798;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;260;28;;MAT TAKVÝYESÝZ SÝM;260;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;198 gr;0,57 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358799;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;25,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;640;25;;MAT TAKVÝYESÝZ SÝM;640;25;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,38 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;177 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358800;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;700;28;;MAT TAKVÝYESÝZ SÝM;700;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;198 gr;0,57 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358803;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;28;;MAT TAKVÝYESÝZ SÝM;320;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;198 gr;0,57 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358808;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;25,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;610;25;;MAT TAKVÝYESÝZ SÝM;610;25;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,38 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;177 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358809;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);500;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;334;32;;1200 DEN 288 F IMG YARIMAT;250;32;;PARLAK TAKVÝYESÝZ SÝM;166;32;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;736 gr;1,72 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358817;CZ00080;MLP30;;;(080) MILPA 30'lu;23,0/cm;305cm;195m²;;300 DEN 144 F HAVA JET LÝNEN LÝKE;900;23;;300 DEN FDY RENKLÝ;450;23;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,15 $;ÇÖZGÜ ÝPLÝK;309 gr;0,93 $;ATKI ÝPLÝK;287 gr;0,95 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358820;CZ00080;MLP30;;;(080) MILPA 30'lu;23,0/cm;305cm;195m²;;300 DEN 144 F HAVA JET LÝNEN LÝKE;1660;23;;300 DEN FDY RENKLÝ;830;23;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,15 $;ÇÖZGÜ ÝPLÝK;309 gr;0,93 $;ATKI ÝPLÝK;287 gr;0,95 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358830;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;30,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;30;;300 DEN ÇEKEN ;320;30;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,65 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;166 gr;0,62 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358845;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;300;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;300;32;;150 DEN ÇEKEN ;150;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,76 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;319 gr;1,18 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358848;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;203;26;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;202;26;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;288 gr;1,07 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358866;CZ00080;MLP30;;;(080) MILPA 30'lu;21,0/cm;305cm;187m²;;300 DEN 144 F HAVA JET LÝNEN LÝKE;750;21;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;350;21;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,05 $;ÇÖZGÜ ÝPLÝK;309 gr;0,93 $;ATKI ÝPLÝK;262 gr;0,86 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358874;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;40,0/cm;;;;150 DEN 288 F MÝCRO TEKS;700;40;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;700;40;;1200 DEN 288 F IMG YARIMAT;350;40;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;2,00 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;649 gr;1,69 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358876;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;40,0/cm;;;;150 DEN 288 F MÝCRO TEKS;1180;40;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1180;40;;1200 DEN 288 F IMG YARIMAT;590;40;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;2,00 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;649 gr;1,69 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358887;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;38,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;660;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;660;38;;1200 DEN 288 F IMG YARIMAT;330;38;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,90 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;703 gr;2,06 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358902;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;240;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;254 gr;0,94 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358903;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;15,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);400;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;0,75 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;384 gr;0,69 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358910;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;840;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;254 gr;0,94 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358915;0;;;;;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;820;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;001 gr;0,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358919;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;820;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;254 gr;0,94 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358927;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;254 gr;0,94 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358928;0;;;;;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;001 gr;0,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358931;CZ00040;0;;;(040) 75 IMG 60'lý;38,0/cm;;;;300 DEN 576 F MÝCRO TEKS;1080;38;;1200 DEN 288 F IMG YARIMAT;540;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;180;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;180;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;358;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;180;38;;;;;;;;;;% -100;JAKAR;0,055 $;2,09 $;ÇÖZGÜ ÝPLÝK;164 gr;0,38 $;ATKI ÝPLÝK;725 gr;1,80 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358932;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;38,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;970;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;970;38;;1200 DEN 288 F IMG YARIMAT;485;38;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,90 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;703 gr;2,06 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358933;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);500;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;500;32;;1200 DEN 288 F IMG YARIMAT;250;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;1,78 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358935;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);700;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;700;32;;1200 DEN 288 F IMG YARIMAT;350;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;1,78 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358936;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;38,0/cm;;;;300 DEN 576 F MÝCRO TEKS;720;38;;1200 DEN 288 F IMG YARIMAT;360;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;146;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;108;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;78;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;169;38;;;;;;;;;;% -100;JAKAR;0,050 $;1,90 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;705 gr;1,75 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358948;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;38,0/cm;;;;300 DEN 576 F MÝCRO TEKS;1041;38;;1200 DEN 288 F IMG YARIMAT;634;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;410;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;174;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;309;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;184;38;;;;;;;;;;% -100;JAKAR;0,050 $;1,90 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;705 gr;1,81 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358949;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;16,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;100;16;;7 NM POLYESTER ÞÖNÝL;100;16;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;0,80 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;445 gr;2,16 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358950;CZ00028;IMG60;;;(028) IMG 60'lý 100 IMG;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);500;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;500;32;;1200 DEN 288 F IMG YARIMAT;250;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,60 $;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;772 gr;1,78 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358961;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;30,0/cm;;;;300 DEN FDY RENKLÝ;660;30;;300 DEN FDY RENKLÝ;660;30;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,65 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;332 gr;1,23 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358962;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;30,0/cm;;;;300 DEN FDY RENKLÝ;460;30;;300 DEN FDY RENKLÝ;460;30;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,65 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;332 gr;1,23 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358974;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;35,0/cm;;;;300 DEN FDY RENKLÝ;560;35;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;560;35;;150 DEN ÇEKEN ;280;35;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,93 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;349 gr;1,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358975;0;;;;;35,0/cm;;;;300/96 DEN PES FDY PARLAK RENKLÝ;632;35;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;632;35;;150/48 DEN PES ÇEKEN;316;35;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;001 gr;0,02 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358976;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;35,0/cm;;;;300 DEN FDY RENKLÝ;632;35;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;632;35;;150 DEN ÇEKEN ;316;35;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,93 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;349 gr;1,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358977;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;35,0/cm;;;;300 DEN FDY RENKLÝ;488;35;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;488;35;;150 DEN ÇEKEN ;244;35;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,93 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;349 gr;1,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358978;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;728;36;;300 DEN FDY RENKLÝ;728;36;;150 DEN ÇEKEN ;364;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;359 gr;1,33 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358997;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;520;28;;300 DEN FDY RENKLÝ;520;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358999;0;;;;;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;520;28;;300/96 DEN PES FDY PARLAK RENKLÝ;520;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;#YOK;;ÇÖZGÜ ÝPLÝK;;;ATKI ÝPLÝK;001 gr;0,02 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359006;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;690;28;;MAT TAKVÝYESÝZ SÝM;690;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;198 gr;0,57 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359008;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;23,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;550;23;;MAT TAKVÝYESÝZ SÝM;550;23;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,27 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;163 gr;0,47 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
